Satellite ID,Orbit,Memory Capacity (GB),Max Obs/Day,Total Observations,Unique Targets,Total Downlinks,Utilization (%),Status
S1,1,100,20,2,2,0,1.4,Active
S2,1,100,20,1,1,0,0.7,Active
S3,1,100,20,1,1,0,0.7,Active
S4,1,100,20,1,1,0,0.7,Active
S5,1,100,20,0,0,0,0.0,Idle
